Numero;lat1;lon1
652;-84.35092;10.37583
653;-84.35035;10.37568
654;-84.35008;10.37564
655;-84.34945;10.37557
656;-84.34911;10.37554
657;-84.3481;10.37543
658;-84.3475;10.37536
659;-84.34736;10.37535
660;-84.3464;10.37526
661;-84.34603;10.37522
662;-84.3452;10.37515
663;-84.34453;10.37509
664;-84.34417;10.37505
665;-84.34366;10.37499
666;-84.34337;10.37496
667;-84.34221;10.37483
668;-84.33309;10.38487
669;-84.33371;10.38495
670;-84.33803;10.3855
671;-84.33953;10.3857
672;-84.30586;10.40725
673;-84.30601;10.40675
674;-84.30604;10.40619
675;-84.30609;10.40589
676;-84.30616;10.40566
677;-84.30631;10.40544
678;-84.30657;10.405
679;-84.30667;10.40469
680;-84.3067;10.40461
681;-84.30679;10.40416
682;-84.30685;10.40409
683;-84.30696;10.40401
684;-84.30707;10.40397
685;-84.30716;10.40392
686;-84.30735;10.40363
687;-84.30753;10.40335
688;-84.30767;10.40313
689;-84.30778;10.4029
690;-84.30789;10.40254
691;-84.308;10.40214
692;-84.30808;10.40181
693;-84.30814;10.40118
694;-84.30817;10.40099
695;-84.30837;10.40037
696;-84.30849;10.40019
697;-84.30878;10.39988
698;-84.30931;10.39924
699;-84.30995;10.39839
700;-84.31018;10.39812
701;-84.31033;10.39766
702;-84.31044;10.39737
703;-84.31091;10.39694
704;-84.31095;10.39689
705;-84.31154;10.39638
706;-84.31217;10.39551
707;-84.31299;10.39464
708;-84.31423;10.39384
709;-84.31436;10.39262
710;-84.3148;10.38849
711;-84.31506;10.38619
712;-84.31516;10.386
713;-84.31554;10.38598
714;-84.31658;10.38611
715;-84.31677;10.38606
716;-84.31695;10.38592
717;-84.31699;10.38566
718;-84.31721;10.38452
719;-84.31737;10.38365
720;-84.31743;10.38348
721;-84.31756;10.38334
722;-84.31772;10.3832
723;-84.3189;10.38241
724;-84.31933;10.38207
725;-84.31954;10.38196
726;-84.31977;10.38186
727;-84.3202;10.38172
728;-84.3204;10.38168
729;-84.32054;10.38159
730;-84.32063;10.38143
731;-84.32102;10.3805
732;-84.32124;10.37936
733;-84.32149;10.37877
734;-84.32198;10.37775
735;-84.32243;10.37686
736;-84.32254;10.37659
737;-84.32257;10.37642
738;-84.3226;10.37554
739;-84.32259;10.37451
740;-84.33237;10.41076
741;-84.33225;10.41071
742;-84.33002;10.41039
743;-84.32729;10.4092
744;-84.32474;10.40812
745;-84.32305;10.40776
746;-84.32219;10.40764
747;-84.32205;10.40762
748;-84.31967;10.40734
749;-84.31846;10.40721
750;-84.3176;10.40712
751;-84.31722;10.40708
752;-84.31718;10.40707
753;-84.31642;10.40699
754;-84.31485;10.40687
755;-84.31388;10.40673
756;-84.31309;10.40658
757;-84.3148;10.38849
758;-84.31724;10.38886
759;-84.31787;10.38902
760;-84.31805;10.38903
761;-84.31844;10.38892
762;-84.31871;10.3889
763;-84.3189;10.38894
764;-84.31907;10.38904
765;-84.31949;10.38914
766;-84.31994;10.38919
767;-84.32266;10.3895
768;-84.32385;10.38964
769;-84.32417;10.38969
770;-84.32429;10.38969
771;-84.32461;10.38961
772;-84.32473;10.38959
773;-84.32505;10.38958
774;-84.32604;10.38965
775;-84.32628;10.38968
776;-84.32767;10.38975
777;-84.32878;10.38988
778;-84.32977;10.39003
779;-84.33068;10.39016
780;-84.3335;10.39044
781;-84.33859;10.39106
782;-84.31309;10.40658
783;-84.31298;10.40758
784;-84.31263;10.41093
785;-84.31263;10.41097
786;-84.31252;10.4121
787;-84.31246;10.41266
788;-84.31309;10.40658
789;-84.31241;10.40707
790;-84.31118;10.40795
791;-84.31093;10.4081
792;-84.31067;10.40815
793;-84.31017;10.40813
794;-84.30789;10.40775
795;-84.3071;10.40755
796;-84.30586;10.40725
797;-84.33823;10.39376
798;-84.33374;10.39326
799;-84.33179;10.39308
800;-84.31641;10.42563
801;-84.31774;10.42646
802;-84.31566;10.42699
803;-84.31678;10.42748
804;-84.34547;10.40296
805;-84.34427;10.40279
806;-84.34344;10.40268
807;-84.33739;10.40195
808;-84.32579;10.42028
809;-84.3248;10.41901
810;-84.33721;10.40673
811;-84.33716;10.40601
812;-84.33714;10.40548
813;-84.33713;10.40443
814;-84.33706;10.40415
815;-84.33764;10.39898
816;-84.33877;10.39913
817;-84.33867;10.39983
818;-84.3386;10.39989
819;-84.33851;10.39991
820;-84.33758;10.39979
821;-84.3198;10.42152
822;-84.32076;10.42219
823;-84.32136;10.42268
824;-84.33361;10.39601
